,레시피 이름,식품명,재료,양념,조리순서
717,"양파장아찌 만들기, 비율만 알면 어렵지 않아요 ~",양파장아찌,양파 2개##,물 1컵##설탕 1/2컵##식초 1/2컵##간장 1/2컵##,"양파를 더 많이 사용하실 경우 양념의 양도 좀 더 늘려주시면 되겠쥬 ~##물 2 : 간장 1 : 식초 1 : 설탕1 의 비율로 맞춰주시면 된답니다##모든 양념은 냄비에 한번에 넣어 팔팔 끓여주세요 ~##양념이 끓어오르는 동안 양파를 먹기 좋은 크기로 잘라서
유리그릇이나 병에 넣어 준비해주세요 :)##양념장이 팔팔 끓어오르면 이제 양파장아찌 만드는건
거의 끝난거나 마찬가지예요 ~##끓어오른 양념을 준비해두었던 양파에
부어 주시면 되는데요 ~
뜨거울때 부어주셔야 양파가 아삭하니 더 맛있답니다##요렇게 양념을 부어주고 바로 드시는것보다
하루 정도는 냉장고에 두셨다가 다음날 먹어야
양념이 간간히 베어서 더욱 맛있어요 ~##"
718,마늘쫑 멸치볶음 만들기 - 양싸,마늘쫑잔멸치볶음,멸치 1줌##마늘쫑 1/2단##소금 1꼬집##,간장 3T##다진마늘 1ts##물엿 1T##들기름 1T##깨 약간##,"먼저 마늘쫑을 데칠건데요.
마늘쫑은 깨끗이 씻어 한 입 크기로 잘라주세요.
냄비에 물을 받아 소금 한꼬집을 넣고 끓여주세요.
냄비
센불##물이 끓어오르면 마늘쫑을 넣고 2~3분 정도 데쳐줍니다.
데친 마늘쫑은 체에 받쳐 물기를 빼줍니다.
마늘쫑##간장 3T, 다진마늘 1ts, 물엿 1T를 넣고 양념장을 만들어 주세요.
간장 3T, 다진마늘 1ts, 물엿 1T.
들기름은 마무리때 넣어주세요.##마른팬에 멸치를 넣고 볶아주세요.
수분기가 날아가도록~~
멸치
팬
중불##그리고 데친 마늘쫑을 넣고 멸치와 섞어 볶아주세요.
아까 만들어 놓은 양념장을 넣고 볶아줍니다.
들기름 1T를 넣어주세요.
마늘쫑,들기름1T##양념이 졸아들을때까지 볶아주면 완성.
마무리로 깨도 솔솔~~
깨##짭쪼름한 멸치와 아삭한 식감의 마늘쫑.
너무 잘어울리네요.##"
719,바삭하고 달짝지근~ 고소한 멸치볶음! 효자밑반찬이 따로 없어요~:: 멸치주먹밥/멸치효능,멸치볶음,멸치 ##다진파 1/2뿌리##다진마늘 1큰술##통깨 ##견과류 ##,간장 1.5큰술##올리고당 4큰술##설탕 1큰술##마요네즈 1큰술 듬뿍##,"멸치양은 요정도 준비 해 봤어요~ 시장에서 한봉지 산 양!!##먼저, 마른팬을 달궈 기름을 두르지않고 중간불에 멸치를 휘리릭~ 볶아줍니다.타지않게 골고루 볶아주세요~! 견과류를 넣고 싶다면 요때 같이 볶아주시면되요!
비린내가 나지않게 하면서 바삭한 멸치볶음을 만드는 과정이랍니다~##멸치가 약간 노릇~하게 될때까지 잘 볶아주시면 되요##이렇게 한번 덖어내면 맛있는 멸치볶음이 만들어진답니다^^##한번 덖어낸 멸치는 잠시 다른그릇에 옮겨놓고~~##재료준비를 해 주어요~ 파는 다져서 준비 해 주고~매콤한맛을 좋아하신다면 청양고추도 송송썰어 준비 해 주시면 되요~
멸치볶음 양념은, 분량의 간장와 올리고당, 설탕을 넣어 섞어 만들어 주어요.소주나 맛술이 있으면 한큰술 넣어줘도 좋구요~##달군팬에 기름을 넉넉히 두르고~##다진마늘 1큰술을 넣어 볶아줍니다. 불을 좀 줄여서 볶아야 타지 않겠죠??##그리고 다진파도 투입! 마이쏭은 그냥 송송 썰어준 파를 투척!
파향이 잘 우러나게 볶아주세요.##이제! 마늘과 파를 이용한 파기름에, 멸치를 넣어 함께 볶아줍니다##멸치를 기름에 코팅시켜준다~ 생각하시구, 골고루 볶아주시면 되요~##그 다음엔~ 소스 투척!!!
소스를 넣으면 늘러붙기도 하고 탈 수 있으니 요때 불은 off 해 두는걸로!!
소스가 골고루 묻게 잘 뒤적여준 다음!!##오늘 멸치볶음의 하이라이트!##마요네즈를 한큰술 듬~뿍 넣어 줍니다! 진미채볶음 할때도 그렇고~
요 마요네즈는 신의 한수! 더 부드럽고~ 한층 고소한 맛을 느낄 수 있으실꺼에요!!##마무으리! 로 꼬소~한 통깨 팍팍!! 뿌려주면!!!##건강하고 맛있는 멸치볶음이 완성된답니다.##마이쏭은 멸치볶음 만들어, 도시락메뉴로 와따! 인 멸치주먹밥을 만들어 먹기도 해요~
가위로 잘게 썰은 멸치를 밥에 넣고, 간장, 참기름, 설탕조금, 깨소금, 김가루 넣고 조물조물~해서 동그랗게 뭉쳐~ 간단! 하게 만든 주먹밥도 참 별미랍니다!!##"
720,꽈리고추멸치볶음 밑반찬 만들기,멸치풋고추볶음,꽈리고추 470g##멸치 2주먹##간장 4##올리고당 2##설탕 2##다진마늘 1/2##맛술 2##참기름 ##통깨 ##,,"멸치는 냉동실에 있던 거라서 팬에 재빨리 볶아서 비린내를 날려주세요.##작은 멸치라서 따로 손질은 안 했지만.... 손질하면 더 좋겠죠?
볶은 멸치는 팬에서 꺼내 놓아주세요.##간장 4, 올리고당2, 설탕2, 다진마늘1/2, 맛술2, 참기름1/2 의 비율로 넣었는데
단것을 좋아하나? 하시겠죠? 올리고당과 설탕을 2큰술씩 넣었으니까요. ^^ 꽈리고추인데 너무 매운거예요. ㅠ.ㅠ청양고추급의 꽈리고추였어요. 그래서 어쩔 수 없이 단맛이 많이 들어갔어요. 맵지 않으면 단맛은 조절하셔야겠죠.##일단 양념장은 이렇게 만들었어요. 밑에 설탕이 가라앉아 있으니 잘 저어주세요.##꽈리고추는 씻어서 큰 것은 절반씩 잘라줬어요.
자르는데도 매운 냄새가 코를 찌르더라고요. ㅠ.ㅠ 물에 10분 담갔는데도 맵....##아까 멸치 볶았던 팬에 꽈리고추를 넣고 양념장을 부어서 고추에 스며들게 볶아요.##꽈리고추에 양념이 스며들면 볶았던 멸치를 넣고 섞어줍니다.##마지막으로 참기름 1큰술과 통깨를 뿌려주면 꽈리고추멸치볶음으로 밑반찬이 완성되었어요.##"
721,새콤달콤 쌉싸름한 도라지무침,도라지나물무침,,고추장 2스푼##고추가루 2스푼##다진마늘 1/2스푼##설탕 2스푼##소금 1/2작은스푼##,"도라지채에 굵은소금을 넣고##바락바락 주물러 쓴맛을 빼줍니다.##찬물에 담궜다가 채반에 놓고 물을 빼 놓습니다.##양파,당근,대파는 채를 썰고, 다진마늘도 준비합니다.##고추장,고추가루,설탕,소금을 잘 섞어줍니다.##양념장 그릇에 도라지와 준비한 야채를 넣습니다.##조물조물 무치다가 2배식초(식초)를 넣어줍니다.##통깨로 마무리 합니다.##입맛 돋우는 도라지무침이 완성되었습니다.##"
722,밑반찬으로 좋은 멸치마늘쫑볶음~,멸치마늘쫑볶음,마늘쫑 450g##중멸치 40g##,간장 2큰술##올리고당 3큰술##소금 1꼬집##올리브유 2큰술##참기름 1큰술##통깨 1큰술##,"마늘쫑을 3~4센티 길이로 잘라주세요##물에 살살 비벼서 씻어주신후
채반에서 물기를 빼주세요##중멸치또는 볶음멸치를 준비해주시고 팬에서 1분간 살짝 볶아주세요
*비린내를 날려줍니다##팬에 올리브유 2큰술을 넣고
물기를 뺀 마늘쫑을 먼저 넣고 1분간 볶으신후 볶아두었던 멸치를 넣어주세요##간장 2큰술과 요리당 3큰술을 넣어주시고 소금을 한꼬집만 넣어주신후 3분간 볶아주세요##3분간 볶은 멸치마늘쫑은 불을 꺼주시고 참기름과 통깨를 뿌려주시고 마무리하세요##달콤짭자롬한 간단밑반찬
멸치마늘쫑볶음 완성이네요##"
723,고들빼기김치 담그는 법,고들빼기김치,,,"먼저 고들빼기를 떡잎을 제거하고
소금물에 담가줬어요.
가을 고들빼기는 뿌리보단
잎이 무성해서 쌉싸름한 맛이 일품이에요.

금방 시들거나 떡잎이 져서
사자마자 다듬어서 절이는 게 젤루 좋아요.##고들빼기가 싱싱해서
담가놓으면 맛이 아주 좋을 것 같아요.
고들빼기 살살 물에 한두번 헹군 후##소금 두 컵을 붓고
고들빼기가 물에 잠기게 절여주는데요.
사실 이과정은 엊그제 오후 3시쯤에 했어요.
꼬박 이틀 넘게 소금물에 담가놓았는데요.
대략 30시간 담갔아요.
쓴 물을 빼는 과정이랍니다.
위에도 소금을 솔솔 뿌리고요.
이 과정을 그냥 지나치면 엄청나게 쓴
고들빼기김치를 담게 된답니다.##무거운 돌이나 누름돌로 눌러두면 되는데요.
저는 누름돌 대신 김치통에 물을 받아서 올려뒀어요.
이렇게 누름돌을 만들어 올려둬야
쓴물이 잡힌답니다.
잊으시면 아니되어요.~ㅎㅎ##허걱 오늘 아침에 보니
정말 새까매요.
절대로 더러운 거 아니고
몸에 좋은 거랍니다.
하지만 아무리 몸에 좋아도
맛있어야 먹게 되는 거니까요.~##쓰고 짜고 ~
암튼 그래요.
가만히 물을 버리고
찬물을 받아
다시 고들빼기 쓴맛을 우려냅니다.
반나절 더 우려냈어요.
소금은 넣지 않아요.##풀은 물 100ml에 찹쌀가루 1 큰 술~
비율은 그래요.
필요한 양은 2컵(200ml)입니다.
전 넉넉하게 쑤어서 담에도 쓰려고요.
휙휙 찹쌀가루를 풀어주고요.
살짝 묽다 싶을 정도로 쑤었답니다.
얘가 식으면 슬쩍 되직해지거든요.
식혀 주고요.
조금 되직하게 쑤려면
200ml에 찹쌀풀 3 큰 술을 넣고요.##이젠 맑은 물이 나올 때까지
6번 씻었어요.##양파 1개와 고추 분량의 반
생강 1.5 큰 술 정도
사과 1/2쪽~
모두 잘게 잘라서 푸드프로세서에 넣고
휘릭 갈았어요.##고들빼기는 수분을 제거하고요.
손으로 넘 꼭 짜진 말고요.~##쪽파는 길어서 반으로 잘랐어요.##쪽파 길어서 반으로 잘랐고요.
생강과 양파 홍고추 그리고
사과를 간 것을 볼에 붓고요.
찹쌀 풀 쑨 것을 볼에 2컵 부었어요.
당근도 6cm 길이로 잘라넣고요.
마늘 6 큰 술 넣고요.
고춧가루는 2.5컵을 붓고
매실청 3/4컵.
설탕 6큰술 넣어서 단맛을 더했어요.
액젓은 까나리액젓 한 컵 반 넣고요.
고들빼기김치는 약간 단 것이 들어가면
쓴맛이 사라지면서
익으면서 감칠 돌고 맛이 더 좋아져요.##양념에 고들빼기 들들 버무리면 ~##살살살 고들빼기김치를 양념에 버무려 놓고요.##통깨 한줌 팍 뿌려주면
끝내주는 고들빼기김치가 완성!##"
724,마늘쫑고추장무침 만드는 법 : 10분만에 완성되는 간단한 밑반찬 ♩,간장마늘쫑장아찌,마늘쫑 1묶음(약 160g)##,고춧가루 2큰술##다진 마늘 1/2큰술##설탕 1큰술##간장 1큰술##올리고당 1큰술##고추장 3큰술##매실청 3큰술##소금 1꼬집##통깨 또는 깨소금 적당량##,"먼저 오늘의 주인공 마늘쫑 한 묶음을 준비합니다.
어느 정도의 양인지 보여드리고 싶어서 잡아봤는데, 파스타 1-1.5인분 정도의 양인 것 같더라고요.
저울 있으신 분들은 160 -200g 정도 준비하시면 될 것 같아요!##마늘쫑은 새끼손가락만 한 크기로 잘라줍니다.##잘라 놓은 마늘쫑은 흐르는 물에 3-4번 정도 씻은 뒤 체에 밭쳐 물기를 빼둡니다.
(마늘쫑은 자르기 전에 씻으셔도 되고, 저처럼 자르고 난 뒤 씻으셔도 상관없어요 ^^ )
그럼 이제 양념을 만들어 볼까요?##고춧가루 2 큰 술, 다진 마늘 반 큰 술,
설탕 1 큰 술, 간장 1 큰 술, 매실청 3 큰 술, 고추장 3 큰 술을 넣고요.##올리고당 1 큰 술, 소금 한 꼬집, 통깨를 적당량 넣어 잘 섞어주세요.
이렇게 마늘쫑 양념은 완성!
**
레시피상 재료와 다르게 사진에서는 설탕과 올리고당의 양이 조금 적어 보이는데요.
양념을 만들고 나서 맛을 보니 단 맛이 살짝 덜 하더라고요.
그래서 추가로 반 큰 술씩 더 넣다 보니 사진에서의 재료 양과 레시피상 재료양이 조금 다른 점 양해 바랍니다 ^^
**##물이 끓기 시작하면 소금 한 꼬집을 넣고 잘 섞어준 뒤 마늘쫑을 넣어주시고요.
40-50초 정도로만 살짝 데쳐줍니다.
그래야 식감이 좋음!##데친 마늘쫑은 체에 밭쳐 물기를 빼주세요.##볼에 마늘쫑을 담아준 뒤 양념을 넣어 주시고요.##양념과 마늘쫑을 잘 섞어주기만 하면 10분 만에 마늘쫑 고추장무침 완성 ♡##보기만 해도 뜨끈한 밥 생각이 절로 나는 매콤달콤 마늘쫑 무침!
역시 넌 밥도둑이라니까 +_+##입에 착착 감기는 양념과 아삭한 마늘쫑의 식감이 정말 엄지척을 절로 부르는 맛이라는 '-'*
3일간은 반찬 걱정 안 해도 되겠어요 ㅎㅎ##"
725,"[간단한 밑반찬 만들기]잔멸치볶음,호두멸치볶음맛있게만드는법",잔멸치볶음,잔멸치 2컵##호두 1/2컵##,간장 3T##올리고당 3T##설탕 2T##물 2T##마늘 1/2T##맛술 2T##,"재료:멸치 2컵, 호두1/2컵
양념장: 간장3스푼,올리고당3스푼,설탕2스푼,물2스푼,마늘1/2스푼,맛술2스푼##간장3스푼, 맛술2스푼,설탕2스푼,
(짠맛이 걱정이 되시는 분들은 2스푼만 넣으셔도 됩니다)##올리고당3스푼,마늘1/2스푼,물2스푼을 넣고##설탕이 잘풀어질때까지 섞어서 양념장을 준비합니다.##호두를 잘게 다져서 준비해주세요.
큰사이즈를 좋아하시면 자르지 않으셔도 됩니다.##아무것도 두르지 않은 프라이팬에 멸치와 호두를 넣고 달달 볶아주세요.
(약불로 5분정도)##멸치가 바삭바삭해지면, 만들어 두었던 양념장을 넣어주세요.##그리고 다시 양념장을 잘 스며들때까지 볶아주시면~##호두를 넣은 잔멸치볶음 완성입니다.##"
726,꽈리고추멸치볶음 밑반찬 만들기,잔멸치꽈리고추볶음,꽈리고추 470g##멸치 2주먹##간장 4##올리고당 2##설탕 2##다진마늘 1/2##맛술 2##참기름 ##통깨 ##,,"멸치는 냉동실에 있던 거라서 팬에 재빨리 볶아서 비린내를 날려주세요.##작은 멸치라서 따로 손질은 안 했지만.... 손질하면 더 좋겠죠?
볶은 멸치는 팬에서 꺼내 놓아주세요.##간장 4, 올리고당2, 설탕2, 다진마늘1/2, 맛술2, 참기름1/2 의 비율로 넣었는데
단것을 좋아하나? 하시겠죠? 올리고당과 설탕을 2큰술씩 넣었으니까요. ^^ 꽈리고추인데 너무 매운거예요. ㅠ.ㅠ청양고추급의 꽈리고추였어요. 그래서 어쩔 수 없이 단맛이 많이 들어갔어요. 맵지 않으면 단맛은 조절하셔야겠죠.##일단 양념장은 이렇게 만들었어요. 밑에 설탕이 가라앉아 있으니 잘 저어주세요.##꽈리고추는 씻어서 큰 것은 절반씩 잘라줬어요.
자르는데도 매운 냄새가 코를 찌르더라고요. ㅠ.ㅠ 물에 10분 담갔는데도 맵....##아까 멸치 볶았던 팬에 꽈리고추를 넣고 양념장을 부어서 고추에 스며들게 볶아요.##꽈리고추에 양념이 스며들면 볶았던 멸치를 넣고 섞어줍니다.##마지막으로 참기름 1큰술과 통깨를 뿌려주면 꽈리고추멸치볶음으로 밑반찬이 완성되었어요.##"
727,"오이무침, 오이생채 만들기",오이생채,오이 1개##양파 1/2개##당근 약간##,고춧가루 2스푼##설탕 1/2스푼##식초 1스푼##매실액 2스푼##참기름 1스푼##국간장 1/2스푼##볶음 참깨 1/2스푼##,"오이는 굵은 소금으로 문질러서 깨끗히 씻은 후 필러로 돌기부분만 깍아서 먹기 좋은 크기로 썰어 주세요.##당근과 양파도 먹기 좋은 크기로 썰어 주세요. 다음으로 오이무침,오이생채 양념을 만들어 볼께요.##고춧가루 2스푼##매실액 2스푼##설탕 1/2스푼##식초 1스푼##참기름 1스푼##볶음참깨 1/2스푼##국간장 1/2스푼##분량의 재료를 넣고 잘 섞어서 간을 봐주신 후 취향에 맞게 양념을 가감해 주셔서 양념을 만들어 주세요.##이제 오이, 양파, 당근을 볼에 넣고 양념장을 넣어서 조물조물 잘 버무려주면 새콤달콤 양념의 레시피로 만든 오이무침,오이생채 완성##새콤달콤 아삭아삭 맛있는 오이무침!!! 양념만 만들면 간단하게 휘리릭 만들 수 있는 레시피라서 참 좋아요. 입맛없을때 먹으면 상큼해서 저절로 입맛이 돋아요 돋아~ 전 가시오이로 만들었지만 취청오이로 만들어도 참 맛있죠~ 동글동글 썰어보고 어슷어슷 썰어보고 반달모양으로 썰어보고 다양한 모양으로 맛을 낼 수 있어서 색다른 느낌으로 먹을 수 있는~ 이번에는 고춧가루를 넣어서 만들었지만 아이와 함께 먹을 거라면 고춧가루 빼고 새콤달콤하게 만들어 먹어도 깔끔하게 맛있답니다.##"
728,밥도둑 깻잎김치 만들기 어렵지 않아요^^,깻잎김치,간장 10큰술##액젓 3큰술##올리고당 2큰술##매실액 3큰술##고춧가루 5큰술##깻잎 80~100장##,양파 1개##당근 1/2개##쪽파 5개##마늘 5알##깨소금 약간##,"깻잎을 깨끗이 씻어 물기를 빼놓습니다##쪽파 당근 양파 청홍고추 마늘을 준비해둡니다##양파 /당근 /고추는 채썰고 마늘도 깨줍니다##양념장을 준비합니다
간장 /액젓 /올리고당 /매실 /깨를 넣고 잘 섞어 줍니다##썰어둔 당근 /양파 /쪽파 /청홍고추 를넣고 잘 섞어 줍니다##준비가 끝났네요 ㅎ##반찬 통에다 두장씩두고 양념을 골고루 발라줍니다
한장씩하면 너무 짤수도 있으니 두장씩 하는게 좋아요~~^^##이렇게 깻잎김치 한통 완성!
뜨건밥에 감싸서 한입 먹으면 아주 대박이겠죠!##양념을 살짝 찍어 드셔보시고 짜다고 생각이 들면 당분을 추가하거나 양파를 좀더 썰어 넣으셔도 됩니다##"
729,돌나물무침 - 간단 봄나물 반찬,돌나물무침,돌나물 1봉지(두 줌)##양파 1/2개##,고추장 1큰술##고춧가루 1큰술##설탕 1/2큰술##다진 마늘 1큰술##식초 1큰술##매실청 2큰술##참기름 1/2큰술##통깨 1/2큰술##,"쌉쌀하고 아삭한 식감이 좋은
돌나물 무침 만들기 ♬♪##· 돌나물은 깨끗이 씻어##체에 밭쳐 물기를 빼 줍니다##· 양파 1/2개는 얇게 채 썰고##· 돌나물과 양파에 양념을 넣고 조물조물 무쳐주면 완성!!
※ 돌나물무침 양념
【 고추장 1 큰 술, 고춧가루 1 큰 술, 설탕 1/2 큰 술, 다진 마늘 1 큰 술, 식초 1 큰 술, 매실청 2 큰 술, 참기름 1/2 큰 술, 통깨 1/2 큰 술 】
-밥숟가락 계량
(입맛에 따라 원하는 양념을 가감해주세요 :D)##아삭한 식감과 새콤달콤한 양념의
제철 봄나물
돌나물 무침##"
730,꽈리고추멸치볶음 밑반찬 만들기,꽈리고추멸치볶음,꽈리고추 470g##멸치 2주먹##간장 4##올리고당 2##설탕 2##다진마늘 1/2##맛술 2##참기름 ##통깨 ##,,"멸치는 냉동실에 있던 거라서 팬에 재빨리 볶아서 비린내를 날려주세요.##작은 멸치라서 따로 손질은 안 했지만.... 손질하면 더 좋겠죠?
볶은 멸치는 팬에서 꺼내 놓아주세요.##간장 4, 올리고당2, 설탕2, 다진마늘1/2, 맛술2, 참기름1/2 의 비율로 넣었는데
단것을 좋아하나? 하시겠죠? 올리고당과 설탕을 2큰술씩 넣었으니까요. ^^ 꽈리고추인데 너무 매운거예요. ㅠ.ㅠ청양고추급의 꽈리고추였어요. 그래서 어쩔 수 없이 단맛이 많이 들어갔어요. 맵지 않으면 단맛은 조절하셔야겠죠.##일단 양념장은 이렇게 만들었어요. 밑에 설탕이 가라앉아 있으니 잘 저어주세요.##꽈리고추는 씻어서 큰 것은 절반씩 잘라줬어요.
자르는데도 매운 냄새가 코를 찌르더라고요. ㅠ.ㅠ 물에 10분 담갔는데도 맵....##아까 멸치 볶았던 팬에 꽈리고추를 넣고 양념장을 부어서 고추에 스며들게 볶아요.##꽈리고추에 양념이 스며들면 볶았던 멸치를 넣고 섞어줍니다.##마지막으로 참기름 1큰술과 통깨를 뿌려주면 꽈리고추멸치볶음으로 밑반찬이 완성되었어요.##"
731,"[시래기요리]시래기된장무침,시래기무침만들기",시래기나물무침,시래기 2줌##멸치다시팩 1개##다시마 조금##물 3컵##대파 1/2대##홍고추 1개##청양고추 1개##,된장 5스푼##고추장 2스푼##고추가루 1스푼##마늘 1스푼##참기름 1/2스푼##,"[시래기요리]시래기된장무침,시래기무침만들기##재료:시래기2줌,다시팩(없으면 국물용멸치대체가능),다시마조금,물3컵,대파1/2대,홍고추1개,청양고추1개
양념장재료:된장5스푼,고추장2스푼,고추가루1스푼,마늘1스푼,참기름1/2스푼
[계량은 밥숟가락과 종이컵]##냄비에 물을 5컵 정도 넣고 육수재료를 넣은뒤 육수를 내줍니다.##대파1/2대,홍고추1개,청양고추1개를 어슷썰어서 준비합니다.##[양념장만들기]
된장5스푼,고추장2스푼,고추가루1스푼,마늘1스푼##양념장을 골고루 섞어줍니다.##시래기는 저는 삶아진것을 사용했어요^^
만약 마른 시래기라면 찬물에 2시간 정도 담구어 두었다가 삶아주시면 됩니다.
삶은 시래기는 찬물에 헹구어 준뒤 물기를 짜줍니다.##삶은 시래기는 먹기 좋게 잘라준뒤##만들어 두었던 양념장을 넣고 시래기와 함께 버무려 줍니다.##재료 손질하는 동안 육수가 완성이 되었어요.
육수는 어느정도 졸아들었을거예요^^
물을 더 추가하지 마시고~##양념한 시래기를 넣고 약불로 오래 졸여줍니다.##물이 졸아들고 시래기가 부드러워 지면 대파,고추를 넣고 1분간 더 볶아준뒤
참기름 1/2스푼을 넣고 불을 꺼주면!##시래기된장무침 완성입니다!##"
732,느타리버섯 볶음 쫄깃한 밑반찬,느타리버섯볶음,느타리 152g##당근 22g##양파 29g##간장 1큰술##소금 조금##참기름 1큰술##다진마늘 1큰술##,,양파와 당근은 채썰어 준비해주세요 느타리가 길쭉해서 채홽어 볶아 주시면 먹기도 편해요##양념은 미리 만들어 두세요 간장 1큰술 다진마늘1큰술 참기름 1큰술 넣고 양념 골고루 섞어주세요##느타리는 끓는 물에 소금 조금 넣고 살짝 데쳐주세요 느타리버섯 데쳐줘야 쫄깃한 식감이 있어요 데친 느타리 버섯은 찬물에 헹궈 물기를 꼭 짜주세요##팬에 식용유를 넣고 당근 먼저 볶아주세요 당근이 어느정도 익으면 양파 넣고 볶아주세요 중불 물기제거한 느타리버섯을 넣고 볶아주시는데 수분이 살짝 날아갈 정도로 볶아 주세요##미리 준비한 양념장을 넣어 볶아주시고 싱거우면 소금을 간을 해주세요 느타리 버섯볶음에 깊은맛을 내고 싶으면 물기를 제거한 느타리에 미리 준비한 양념을 넣고 먼저 버무려 준비해줬다가 볶아주면 조금더 깊은 맛이 나요##느타리버섯 볶음 완성입니다 느타리버섯 볶음은 간편하면서 밑반찬으로 최고인거같아요 느타리 쫄깃한 식감이 아삭한 당근과 함께 먹으면 맛있어요##
733,"돼지고기안심,메추리알장조림.",돼지고기메추리알장조림,돼지고기 한근( 600g)##메추리알 세판( 60알이상)##꽈리고추 반봉지( 120g)##,간장 1컵반##맛술 1/2컵##생수 7컵##설탕 2/3컵##생강술 소주잔 1컵##월계수잎 2장##통후추 10알##마늘 10알##대파 1뿌리##생강 1쪽##,"돼지고기안심을 핏물을 뺀후, 적당한크기로 잘라 통후추,생강술,월계수잎, 마늘을 넣어 속까지 익혀냅니다.##메추리알도 삶아 껍질을 까놓습니다.##잘 삶아진 돼지고기를식힌후, 결대로 찢어놓습니다.##배합한 간장물(간장,생수,물,설탕)에 꽈리고추,메추리알,돼지고기,대파,마늘,생강,을 넣고 센불에 끓입니다.##한소끔 끓어오르면 중불로 줄여서 15분간 졸여줍니다.##고기와 메추리알에 양념이 잘배이면 접시에 먹기좋게 담습니다.##"
734,"취나물된장무침, 향이 가득 봄나물 반찬",취나물,취나물 2봉지(약 350g)##양파 1/2개##홍고추 1/2개##,된장 듬뿍 1T##고추장 2/3T##매실청 2/3T##다진 마늘 1.5T##깨소금 3T##참기름 2T##,"나물이 잠길 만큼의 물(+소금 1/2T)이 팔팔 끓기 시작하면 취나물과 양파를 넣고 2분 30초 정도 데쳐주세요.
센불
왜 양파를 넣는지 고개를 갸웃하셨죠. 양파를 데쳐주면 단맛도 훨씬 깊어지고, 나중에 묻혀놨을 때 나물의 짠맛을 줄여주는 효과가 크답니다.##부들부들 잘 데쳐진 취나물을 찬물에 2~3번 씻어 열기를 빼준 다음, 손으로 꼬~오옥 물기를 제거해주세요.
너무 많이 제거해주면 수분 너무 빠진 쭉쨍이가 돼서 맛이 없고, 너무 안 짜면 물이 많이 나와 맛이 없으니 적당히 주의해서 짜주는 센스★##양파는 가늘게 채 썰어주시고, 마늘은 잘게 다져주시고, 홍고추는 쫑쫑쫑 썰어주세요. 이걸로 재료 준비는 끝. 다음 단계로 넘어가 볼까요.##이제 밑에 재료를 넣고 잘 섞어주세요.
된장 듬뿍 1T, 고추장 2/3T, 매실청 2/3T, 다진 마늘 1.5T##물기를 빼느라 뭉쳐놓았던 취나물을 손으로 털털털 털어준 다음, 섞어놓은 양념에 조물조물 무쳐주세요.
빡빡 무치시면 안 되는 거 다들 아시죠!!##여기에 썰은 양파, 고추와 깨소금 2T, 참기름 2T를 넣고 한 번 더 조물조물해주시면 끝.
예쁘게 플레이팅하는 Tip
나물을 다 무치면 뭉쳐진 느낌이 들죠. 이럴 때 한 줌 집어 살~짝 털어준 다음, 접시에 높이 쌓아주시면 보기 좋답니다.##"
735,백종원배추겉절이,배추겉절이,알배추 1통##부추 1움큼##양파 1/2쪽##,고추가루 1컵##멸치액젓 1/2컵##새우젓 2T##다진마늘 2/3컵##설탕 2/3컵##,"알배추 꼭지를 자르고
흐르는 물에 깨끗히 씻어주세요.##깨끗히 씻은 배추를 반으로 잘라주세요.##반으로 자르면 줄기만 먹을수도 있으므로,
비스듬히 잘라주세요.##소금 2/3컵을 넣고 40분간 절여주세요.
배추줄기를 구부려서 유연해지면 절여진것이므로!!##겉절이양념레시피!
고추가루1컵, 멸치액젓반컵, 새우젓2스푼,
다진마늘2/3컵, 설탕2/3컵
생강은 없어서 생략ㅋ 있으면 조금넣어주세요.##양념 완성!
미리 만들어서 고추가루를 뿔려주면 더 맛있다고 합니다.##절인배추를 깨끗히 씻어주세요,
그리고, 준비된 야채를 같이 넣어주세요.##만들어 놓은 양념을 한번에 다 넣으면 안됩니다.
조금씩 넣으면서 배추와 함께 무쳐주세요.##요렇게 색깔이 나오면서 맛도 보시면,,
입맛에 딱 맞을겁니다^^ 흐흣
처음 만든 배추겉절이 너무 맛있게 먹었습니다.
양념장은 남아서 무도 무쳐서 먹었답니다.##"
736,건취나물 부드럽게 볶기,건취나물무침,건취나물 70g(말린상태의 무게)##멸치 육수 2/3컵##식용유 1T##,다진마늘 2/3T##다진파 2T##들기름 2T##국간장 2+1/2T##깨 1T##소금 1/4~1/3T 가량##,"취나물이 충분히 잠길 물에 12시간정도 불려줍니다. 냄비에 취나물이 충분히 잠길 물을 끓여준후 물이 끓을때 불린 취나물을 넣어줍니다. 15분정도 삶아준후 절대 찬물로 헹구지 마시고요. 그대로 뜨거운채 뚜껑을 덮고 식혀줍니다. 이렇게 하셔야 나물이 부드러워진답니다. 그 상태로 10시간 정도완전히 식혀준후 불순물이 나오지 않을때까지 찬물로 여러번 헹궈줍니다.##헹군 나물을 소쿠리에 받쳐 물기를 살짝만 빼주신후 물기가 좀 있는 상태로 볶음팬에 넣어줍니다. 여기에 분량의 양념을 넣고 간이 배게 놓습니다. 간이 배이면 가스불을 센불로 켜고 1,2분 정도 달달 볶다가 멸치다시마 육수 2/3컵을 넣고 뚜껑을 덮습니다. 바글바글 끟으면 중불로 졸여 국물이 없어질때까지 볶아주세요. 국물이 없어지면 다진파 2T, 깨 1T를 넣고 한번만 뒤적이면 완성입니다.##접시에 담아내고 마무리~##"
